Compound,BestForm,Knot,MarginalSlope_atLap10_s_per_lap,R2,MAE,n
Hard,linear,,0.03328455582244627,0.16317696497987177,0.3534734140948528,729
Soft,linear,,0.06609869709758864,0.12282288872360791,0.4130150242927976,277
