Compound,Slope_s_per_lap,Intercept,R2,MAE,n,PitWindow_trigger?
Hard,0.0169912258617415,96.58425692942055,0.015113154086376812,0.8422567774884501,729,False
Soft,-0.11779503432707616,98.2590528361043,0.03936723154462829,1.2675895982050933,277,False
