Compound,Slope_s_per_lap,Slope_CI_lower,Slope_CI_upper,Intercept,R2,MAE,n,PitWindow_trigger?
Soft,0.123677384739072,0.09678870247397543,0.15056606700416858,112.74419576868578,0.7552411426408555,0.6197541531216367,277,True
Hard,0.10338034257266751,0.09210077719301074,0.11465990795232428,77.70686802849113,0.45390766256540693,0.6212099400241414,729,True
